date,Ben Zobrist,Evan Longoria,Sean Rodriguez,Hideki Matsui,Jose Molina,Ryan Roberts,B.J. Upton,Sam Fuld,Carlos Pena,Elliot Johnson,Desmond Jennings,Chris Gimenez,Matthew Joyce,Luke Scott,Jeff Keppinger,Jose Lobaton,Will Rhymes
7/24/12,1.66,0.00,0.14,0.14,0.37,0.00,1.60,0.19,0.78,0.52,1.49,0.00,0.81,1.34,2.02,0.64,0.32
7/25/12,1.66,0.00,0.14,0.07,0.28,0.36,1.57,0.28,1.02,0.68,1.68,0.00,1.04,1.27,1.76,1.11,0.32
7/26/12,1.29,0.00,0.14,0.00,0.28,0.50,1.70,0.58,0.98,0.44,1.69,0.00,1.08,1.27,1.69,1.11,0.14
7/27/12,1.41,0.00,0.07,0.00,0.28,0.50,1.46,0.71,1.05,0.44,1.48,0.00,1.08,1.06,1.98,1.11,0.00
7/28/12,1.62,0.00,0.24,0.00,0.28,0.50,1.51,0.71,0.84,0.37,1.58,0.00,1.03,0.90,1.80,1.02,0.00
7/29/12,1.53,0.00,0.24,0.00,0.28,0.59,1.51,0.71,0.90,0.29,1.33,0.00,0.91,0.43,1.82,0.97,0.00
7/30/12,1.64,0.00,0.24,0.00,0.04,0.68,1.17,0.71,1.03,0.36,1.18,0.00,1.19,0.09,1.55,1.06,0.00
7/31/12,1.11,0.00,0.40,0.00,0.04,0.68,0.98,0.98,0.87,0.36,1.07,0.00,1.23,0.00,1.41,1.17,0.00
8/1/12,1.04,0.00,0.40,0.00,0.04,0.86,0.89,0.98,1.21,0.50,1.34,0.00,1.23,0.00,1.35,0.99,0.00
8/3/12,1.09,0.00,0.40,0.00,0.04,0.86,1.10,0.98,1.21,0.50,1.46,0.00,1.17,0.00,1.28,0.99,0.00
8/4/12,1.27,0.00,0.40,0.00,0.13,0.86,1.14,0.84,1.28,0.50,1.37,0.00,0.97,0.00,1.19,0.92,0.00
8/5/12,1.27,0.00,0.40,0.00,0.13,0.61,1.09,0.75,1.23,0.41,1.09,0.00,0.90,0.00,1.12,0.38,0.00
8/7/12,1.47,0.09,0.49,0.00,0.13,0.59,1.02,0.44,1.01,0.50,1.21,0.00,0.86,0.00,1.12,0.51,0.00
8/8/12,1.57,0.09,0.58,0.00,0.22,0.59,1.17,0.31,1.01,0.50,1.25,0.00,0.95,0.00,0.76,0.51,0.00
8/9/12,1.38,0.40,0.41,0.00,0.22,0.75,1.03,0.38,1.17,0.50,1.12,0.00,1.17,0.00,1.03,0.69,0.00
8/10/12,1.29,0.56,0.48,0.00,0.40,0.79,1.16,0.38,1.20,0.37,1.45,0.00,1.48,0.00,1.16,0.60,0.00
8/11/12,1.38,0.56,0.41,0.00,0.45,0.87,1.58,0.38,1.06,0.30,1.56,0.00,1.41,0.00,1.16,0.51,0.00
8/12/12,1.50,0.72,0.45,0.00,0.45,1.20,1.54,0.11,1.13,0.30,1.84,0.00,1.41,0.00,1.40,0.31,0.00
8/13/12,1.81,0.72,0.45,0.00,0.64,1.04,1.75,0.25,0.95,0.16,1.68,0.00,1.41,0.00,1.19,0.31,0.00
8/14/12,1.63,0.72,0.45,0.00,0.73,1.13,1.79,0.25,1.03,0.16,1.77,0.00,1.25,0.00,1.35,0.31,0.00
8/15/12,1.38,0.72,0.45,0.00,0.64,1.13,1.68,0.21,0.95,0.16,1.77,0.00,1.25,0.00,1.26,0.31,0.00
8/16/12,1.72,1.02,0.45,0.00,0.73,1.04,1.76,0.21,0.93,0.09,1.77,0.00,1.16,0.00,1.35,0.31,0.00
8/17/12,1.89,1.02,0.67,0.00,1.10,1.07,2.15,0.37,0.93,0.00,1.77,0.00,1.16,0.00,1.51,0.18,0.00
8/18/12,1.79,1.30,0.67,0.00,1.01,1.29,2.04,0.63,1.07,0.00,1.71,0.00,1.07,0.00,1.51,0.25,0.00
8/19/12,1.70,1.15,0.76,0.00,1.26,1.43,2.14,0.58,1.13,0.16,1.83,0.00,1.07,0.00,1.24,0.07,0.00
8/20/12,1.79,0.99,0.89,0.00,1.08,1.30,2.11,0.80,0.97,0.34,1.70,0.00,0.66,0.00,1.24,0.32,0.00
8/21/12,1.52,0.99,0.89,0.00,0.99,1.12,1.69,0.80,0.90,0.34,1.66,0.00,0.61,0.13,1.15,0.32,0.00
8/22/12,1.51,1.00,0.69,0.00,0.99,0.99,1.73,0.80,0.96,0.34,1.33,0.00,0.64,0.13,0.99,0.53,0.00
8/23/12,1.29,1.18,0.69,0.00,0.95,1.08,1.52,0.75,0.80,0.34,1.13,0.00,0.68,0.26,1.24,0.53,0.00
